top - 15:27:06 up 49 min,  1 user,  load average: 0.74, 0.64, 0.37
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 95.2 id,  4.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    225.4 free,   2491.1 used,   1146.9 buff/cache     
MiB Swap:   3771.0 total,   3680.9 free,     90.1 used.   1376.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    660 root     -51   0       0      0      0 S   0.0   0.0   0:02.42 irq/16-+
    661 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    715 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    844 avahi     20   0    8672   4348   3964 S   0.0   0.1   0:00.41 avahi-d+
    845 message+  20   0   12224   6968   4664 S   0.0   0.2   0:00.48 dbus-da+
    852 gnome-r+  20   0  512808  16104  13672 S   0.0   0.4   0:00.06 gnome-r+
    880 polkitd   20   0  399440  12004   8148 S   0.0   0.3   0:00.38 polkitd
    889 root      20   0  322044   6792   6536 S   0.0   0.2   0:00.02 power-p+
    914 root      20   0  321960   7636   6868 S   0.0   0.2   0:00.12 account+
    922 root      20   0   18092   2660   2532 S   0.0   0.1   0:00.01 cron
    927 root      20   0  318492   6216   6216 S   0.0   0.2   0:00.04 switche+
    948 root      20   0   18268   8576   7808 S   0.0   0.2   0:00.11 systemd+
    958 root      20   0  543192  13516  10828 S   0.0   0.3   0:00.17 udisksd
    986 avahi     20   0    8480   1292   1148 S   0.0   0.0   0:00.00 avahi-d+
    987 root      20   0  631800  19040  15968 S   0.0   0.5   0:00.72 Network+
    990 root      20   0   17380   5708   4940 S   0.0   0.1   0:00.03 wpa_sup+
   1008 syslog    20   0  222564   5636   4100 S   0.0   0.1   0:00.10 rsyslogd
   1040 root      20   0  392096  12384  10336 S   0.0   0.3   0:00.11 ModemMa+
   1166 root      20   0   46896  11648   9600 S   0.0   0.3   0:00.02 cupsd
   1173 root      20   0  120924  22036  13076 S   0.0   0.6   0:00.06 unatten+
   1183 lp        20   0   16832   6832   5936 S   0.0   0.2   0:00.00 dbus
   1187 cups-br+  20   0  268352  19596  16780 S   0.0   0.5   0:00.04 cups-br+
   1189 root      20   0  323492   9132   8236 S   0.0   0.2   0:00.02 gdm3
   1195 kernoops  20   0   12744   2016   1876 S   0.0   0.1   0:00.00 kernelo+
   1209 kernoops  20   0   12744   2268   1876 S   0.0   0.1   0:00.00 kernelo+
   1310 rtkit     21   1   22940   3292   3164 S   0.0   0.1   0:00.06 rtkit-d+
   1401 colord    20   0  328736  14184   9576 S   0.0   0.4   0:00.11 colord
   1445 root      20   0  325228   8476   7196 S   0.0   0.2   0:00.05 upowerd
   1782 root      20   0  251248  10200   8976 S   0.0   0.3   0:00.04 gdm-ses+
   1793 sysadmin  20   0   21520  12552   9612 S   0.0   0.3   0:00.50 systemd
   1800 sysadmin  20   0   21464   3148   1840 S   0.0   0.1   0:00.00 (sd-pam)
   1813 sysadmin   9 -11  124008  13608   8336 S   0.0   0.3   0:13.03 pipewire
   1815 sysadmin  20   0  106404   4688   4688 S   0.0   0.1   0:00.00 pipewire
   1826 sysadmin   9 -11  415468  15544  11064 S   0.0   0.4   0:00.31 wireplu+
   1827 sysadmin   9 -11  126708  14184   9448 S   0.0   0.4   0:00.15 pipewir+
   1828 sysadmin  20   0  325176   9688   8664 S   0.0   0.2   0:00.03 gnome-k+
